categoria,material,unidad,precio_ars,proveedor_ref,variacion_mensual_pct,fecha_actualizacion
Cañerías,"Caño termofusión Ø20 x 4m (agua fría/caliente)",unidad,9500,Acqua System,1.8,2026-04-15
Cañerías,"Caño PPL Ø25 x 4m",unidad,13000,Acqua System,1.8,2026-04-15
Cañerías,"Caño PVC Ø50 x 4m (desagüe secundario)",unidad,11500,Tigre / Amanco,2.0,2026-04-15
Eléctrica,"Cable unipolar 2.5mm² (rollo 100m)",rollo,48000,IMSA / Prysmian,2.2,2026-04-15
Eléctrica,"Cable unipolar 4mm² (rollo 100m)",rollo,72000,IMSA / Prysmian,2.2,2026-04-15
Eléctrica,"Cable unipolar 6mm² (rollo 100m)",rollo,105000,IMSA / Prysmian,2.2,2026-04-15
Eléctrica,"Cañería corrugado Ø20 (rollo 25m)",rollo,6200,Tigre,1.5,2026-04-15
Eléctrica,"Tablero seccional 12 bocas",unidad,55000,Schneider / Legrand,2.5,2026-04-15
Eléctrica,"Disyuntor diferencial 2x25A 30mA",unidad,58000,Schneider,2.8,2026-04-15
Eléctrica,"Termomagnética bipolar 2x20A",unidad,21000,Schneider,2.2,2026-04-15
Pisos,"Cerámico 30x30 (caja 2.5m²)",m2,9500,Cerro Negro / Alberdi,1.8,2026-04-15
Pisos,"Cerámico 45x45 (caja 2.5m²)",m2,13500,Cerro Negro,1.8,2026-04-15
Pisos,"Porcelanato 60x60 (caja 1.44m²)",m2,25000,Ilva / San Lorenzo,2.0,2026-04-15
Pisos,"Porcelanato pulido 60x120",m2,42000,Ilva / San Lorenzo,2.0,2026-04-15
Pisos,"Piso flotante AC4 8mm",m2,16000,Kronotex / Holztek,1.8,2026-04-15
Revestimientos,"Azulejo blanco 20x20 (caja 2m²)",m2,7500,Cerro Negro,1.5,2026-04-15
Revestimientos,"Porcelanato pared 30x60",m2,18500,Ilva / San Lorenzo,2.0,2026-04-15
Pinturas,"Látex interior 20L",unidad,75000,Sherwin Williams / Alba,2.2,2026-04-15
Pinturas,"Látex exterior 20L",unidad,95000,Sherwin Williams / Alba,2.2,2026-04-15
Pinturas,"Esmalte sintético 4L",unidad,42000,Colorín,2.0,2026-04-15
Pinturas,"Fijador sellador 20L",unidad,46000,Alba,1.8,2026-04-15
Pinturas,"Enduido plástico 32kg",unidad,38000,Sinteplast / Alba,1.8,2026-04-15
Aberturas,"Ventana aluminio A30 corrediza 1.50x1.10",unidad,320000,Modena / Aluar,3.0,2026-04-15
Aberturas,"Ventana aluminio herrero 1.00x1.00",unidad,180000,Modena / Aluar,3.0,2026-04-15
Aberturas,"Puerta placa interior 0.70x2.00 c/ marco",unidad,140000,Oblak,2.5,2026-04-15
Aberturas,"Puerta placa exterior 0.80x2.00 c/ marco",unidad,200000,Oblak,2.5,2026-04-15
Aberturas,"Puerta blindada 0.80x2.00",unidad,650000,Pentagono / Multlock,2.8,2026-04-15
Sanitarios,"Inodoro largo depósito de apoyo blanco",juego,185000,Ferrum / Roca,2.0,2026-04-15
Sanitarios,"Lavatorio de colgar blanco 1 agujero",unidad,65000,Ferrum / Roca,2.0,2026-04-15
Sanitarios,"Grifería monocomando lavatorio",unidad,95000,FV / Peirano,2.5,2026-04-15
Sanitarios,"Grifería monocomando ducha c/ transfersor",unidad,135000,FV / Peirano,2.5,2026-04-15
Sanitarios,"Bidet 1 agujero blanco",unidad,75000,Ferrum / Roca,2.0,2026-04-15
Sanitarios,"Vanitory 60cm c/ mesada y grifería",unidad,280000,Ferrum / FV,2.5,2026-04-15
Techos,"Chapa galvanizada sinusoidal C27 (1.10x3m)",unidad,36000,Ternium / Siderar,2.2,2026-04-15
Techos,"Perfil C galvanizado 80x40x15 e=1.6mm x 6m",unidad,32000,Barbieri,2.0,2026-04-15
Techos,"Chapa trapezoidal T101 C25 (1.05x3m)",unidad,42000,Ternium / Siderar,2.2,2026-04-15
Durlock,"Placa STD 9.5mm (1.20x2.40m)",unidad,14000,Knauf / Durlock,1.5,2026-04-15
Durlock,"Placa RH (resistente humedad) 12.5mm",unidad,21000,Knauf / Durlock,1.5,2026-04-15
Durlock,"Placa RF (resistente fuego) 12.5mm",unidad,22500,Knauf / Durlock,1.5,2026-04-15
Durlock,"Perfil montante 69mm x 2.60m",unidad,5800,Knauf,1.2,2026-04-15
Adhesivos,"Pegamento p/ cerámicos (bolsa 30kg)",bolsa,9500,Klaukol / Weber,2.0,2026-04-15
Adhesivos,"Pegamento p/ porcelanato (bolsa 30kg)",bolsa,14000,Klaukol / Weber,2.0,2026-04-15
Adhesivos,"Pastina p/ juntas (bolsa 5kg)",bolsa,7000,Klaukol / Weber,1.8,2026-04-15
Gas,"Caño de hierro galvanizado Ø3/4 x 6.40m",unidad,38000,DAE / Lefort,2.0,2026-04-15
Gas,"Flexible gas Ø1/2 (por metro)",ml,4500,Trical / Tigreflex,1.5,2026-04-15
Gas,"Válvula esférica gas Ø3/4",unidad,12000,Raufoss / Giacomini,1.8,2026-04-15
